"Number","Name","Phone","Teams","E-mail","URL","Address","On time","Average delay","Currency","Default lead time","Total cost","NOTES","ACCOUNT","Payment period","Payment period type"
"V00024","BWE",,,,,,0,0,"$",,0,,,,
"V00010","BWE 2ndhand $250",,,,,,0,0,"$",,0,,,,
"V00336","BWEG",,,,,,0,0,"$",,0,,"Y",,
"V00018","Cabac",,,,,,0,0,"$",,0,,,,
"V00220","CASCADE (AUSTRALIA) PTY LTD",,,,,,0,0,"$",,0,,,,
"V00144","cash",,,,,,0,0,"$",,0,,,,
"V00123","CASPHONE",,,,,"SHOP 18, NERANG MALL,, CNR GILSTON ROAD AND NEW STREET, NERANG QLD 4211, Australia",0,0,"$",,0,,,,
"V00079","Chamber of Commerce",,,,,,0,0,"$",,0,,,,
"V00099","CHEMIST",,,,,,0,0,"$",,0,,,,
"V00091","CIRCUIT MASTER PTY LTD",,,"david@circuitmaster.com.au",,"Unit 12 326-342 Marine Pde, LABRADOR QLD 4215, Australia",0,0,"$",,0,,,,
"V00275","CITY OF GOLD COAST RATES",,,,,,0,0,"$",,0,,,,
"V00226","CITY OF GOLD COAST/WATER AND WASTE","5581 7030",,"dmanson@goldcoast.qld.gov.au",,"PO BOX 5042, GOLD COAST MC QLD 9726, Australia",0,0,"$",,0,,,,
"V00315","CLARK RUBBER",,,,,,0,0,"AUD",,0,,,,
"V00137","CLEAR ACCOUNTING SOLUTIONS","075679 5815",,"info@clearaccounting.net.au",,"PO BOX 4454, ASHMORE PLAZA QLD 4214, Australia",0,0,"$",,0,,,,
"V00110","COASTWIDE SERVICE CENTRE",,,"coastwiderwc@gmail.com",,"Unit 1 20 Jade Dr, MOLENDINAR QLD 4214, Australia",0,0,"$",,0,,,,
"V00041","COIL STEELS",,,,,,0,0,"$",,0,,,,
"V00278","COMPLETE PRINT AND DESIGN",6155963767,,"hello@completeprint.design",,,0,0,"$",,0,,,,
"V00111","CORESUN DRIVE EQUIPMENT CHANGZHOU CO.,LTD",8651988900526,,,,"SHUNNAN, TIANNING DISTRICT,, CHANGZHOU CITY JIANGSU 213000, China",0,0,"USD",,0,,"N",,
"V00089","COURIERS PLEASE","1300 361 000",,,,,0,0,"$",,0,,,,
"V00106","CRIDLAND CUTTING SYSTEMS","03 9720 8346",,"john@cridlandcutting.com.au",,"F1/6 ELSUM AVENUE, BAYSWATERNORTH VIC 3153, Australia",0,0,"$",,0,,,,
"V00145","CUSTOM TRUCK BODIES AND TRAILERS",610755976113,,"info@customtt.com.au",,"MOLENDINAR QLD 4214, Australia",21,7.9090909090909,"$",,3829.5,,,,
"V00119","CUT2SHREDS","075574 5333",,"accounts@cut2shreds.com.au",,"9 Reichert Dr, MOLENDINAR QLD 4214, Australia",0,0,"$",,0,,,,
"V00313","Dalsteel Metals","07 3216 2575",,"justinp@dalsteel.com.au",,,33,2.1818181818182,"AUD",1,5906,,,,
"V00254","DAVIES AUTOMOTIVE",,,,,,0,0,"$",,0,,,,
"V00140","DAYLEYS AUTO MARINE",,,,,,0,0,"$",,0,,,,
"V00068","DEPARTMENT OF TRANSPORT",,,,,,0,0,"$",,0,,,,
"V00040","DHL EXPRESS",,,,,,0,0,"$",,0,,,,
"V00262","DICKIES AUSTRALIA",,,,,,0,0,"$",,0,,,,
"V00234","DIESEL DIRT & TURF EXHIBITION",,,,,,0,0,"$",,0,,,,
"V00021","digikey",,,,,,0,0,"$",,0,,,,
"V00237","DNA ANODISING",,,,,,0,0,"$",,0,,,,
"V00109","DON KIBBLE",,,,,,0,0,"$",,0,,,,
"V00194","DOTMAR ENGINEERING",,,,,,0,0,"$",,0,,,,
"V00190","DOTMAR ENGINEERING PLASTIC PRODUCTS",0737270900,,"ap@dotmar.com.au",,"67 Dulacca St, ACACIA RIDGE QLD 4110, Australia",0,0,"$",,0,,,,
"V00227","EASY CNC",,,,,,0,0,"$",,0,,,,
"V00071","EBAY",,,,,,0,0,"$",,0,,,,
"V00132","EDINGTON AGENCIES PTY LTD",,,,,,0,0,"$",,0,,,,
"V00294","Electus Distribution",,,"sales@electusdistribution.com.au",,,90,0.85714285714286,"$",,1508.77,,,,
"V00022","Element 14",,,,,,0,0,"$",,0,,,,
"V00297","ENGINEERING TOOLING SUPPLIES PTY LTD","07 3806 4517",,"sales@ets.net.au","http://www.ets.net.au","UNIT 2 / 1-5 ALLAN STREET, LOGANHOLME QLD 4129, Australia",0,31,"AUD",,176.76,,,30,10
"V00166","ENGINEERING TRANSMISSION AGENCIES PTY LTD",,,,,,0,0,"$",,0,,,,
"V00325","ETS","0409 127 699",,"sales@ets.net.au",,,100,0,"$",,176.76,,"N",,
"V00319","EXPRESS SIGNS AND DESIGNS",,,,,,0,0,"AUD",,0,,"N",,
"V00264","FILTER SYSTEMS AUSTRALIA",,,,,,0,0,"$",,0,,,,
"V00090","FIRE 2000 FIRE SERVICES",,,"admin@fire2000.com.au",,"6/698 ASHMORE ROAD, MOLENDINAR QLD 4215, Australia",0,0,"$",,0,,,,
07457484,"FIRST DATA","1800 243 444",,,,"168 Walker St, NORTH SYDNEY NSW 2060, Australia",0,0,"$",,0,,,,
59474,"FLEET CARD",,,,,,0,0,"$",,0,,,,
"V00256","FLEETCOR TECHNOLOGIES, INC",,,,,"3280 PEACHTREE ROAD, SUITE 2400, ATLANTA, GA 30305",0,0,"$",,0,,,,
"V00051","FORWARD INDUSTRIAL",,,,,,0,0,"$",,0,,,,
"V00321","FOSHAN HONG CHANG JUFA ELECTROMECHANICAL VALVE  CO LTD","+86 757 81266759",,"jill@hongchangjufa.com",,"FOSHAN HONG CHANG JUFA ELECTROMECHANICAL VALVE CO LTD, 20/F TOWER ONE TIMES SQUUARE, 1 MATHERSON STREET, CAUSEWAY BAY HONG KONG, China",0,0,"USD",,0,,"N",,
"V00141","FREEDOM FUEL",,,,,,0,0,"$",,0,,,,
"V00117","FREEDOM TYRES QUEENSLAND","073277 1126",,"kelvin@freedomtyres.com.au",,"28 Ashover Rd, ROCKLEA QLD 4106, Australia",0,0,"$",,0,,,,
"RWF:AJ:190520","FRIGO ADAMSON LEGAL FROUP PTY LTD",0756619719,,"info@falg.com.au",,"PO BOX 632, MUDGEERABA QLD 4213",0,0,"$",,0,,,,
"V00026","FRL combination",,,,,,0,0,"$",,0,,,,
"V00326","GC SIGNS AND PLASTIC FABRICATION",,,,,,0,21,"$",,1,,"N",,
"V00112","GLOBAL JOB SOLUTIONS",,,,,,0,0,"$",,0,,,,
"V00189","GOLD COAST CAR KEYS",,,,,,0,0,"$",,0,,,,
"V00122","GOLD COAST ELECTROPLATING","075594 6824",,"purchasing@gcelectroplating.com.au",,"GOLD COAST ELECTROPLATING, 671 Pine Ridge Rd, BIGGERA WATERS QLD 4216, Australia",11,6.7543859649123,"$",,1317.99,,,2,0
"V00066","GOLD COAST WELDING",,,,,,0,0,"$",,0,,,,
"V00259","GOLD COAST WELDING SUPPLIES",55646616,,,,"3/14 DISTRIBUTION AVE, MOLENDINAR QLD 4214, Australia",100,0,"AUD",,77.6,,,,
"V00283","GOODYEAR AUTOCARE ASHMOREHMORE",,,,,,0,0,"$",,0,,,,
"V00084","GOSS & CO ACCOUTING & TAX AGENT",0732781455,,"david@gossco.com",,"PO BOX 178, SHERWOOD QLD 4075, Australia",0,0,"$",,0,,,,
"V00097","GUANGZHOU OSUNSHINE ENVIRONMENTAL TECHNOLOGY CO LTD",862038246009,,"sales05@gznetech.com",,"ROOM 2009, NO 18 CHEBEI DAGANG ROAD, TIANHE DISTRICT GUANGZHOU, China",0,0,"$",,0,,,,
"V00120","GWS (GEORGE WESTON AND SONS)","073423 5300",,"sales@georgeweston.com.au",,"57 Kimberley St, DARRA QLD 4076, Australia",11,6,"$",,6250.96,,,,
"V00074","HANDCRAFT STUDIO",,,,,,0,0,"$",,0,,,,
"BLU062","HARE & FORBES MACHINERY HOUSE","073715 2200",,,,"626 Boundary Rd, ARCHERFIELD QLD 4108, Australia",0,0,"$",,0,,,,
"V00080","Havard Business Services Inc",,,,,,0,0,"$",,0,,,,
"V00146","HEADLAND",0392443500,,"accounts@headland.com.au",,"95 Highbury Rd, BURWOOD VIC 3125, Australia",0,0,"$",,0,,,,
"V00092","HEFEI KIWI HEAVY MACHINERY",,,,,,0,0,"$",,0,,,,
"V00147","HIGH GRADE METALS LTD/CNC DIRECT","00116496222 169",,"david@highgrademetals.co.nz",,"144 CAPTAIN SPRINGS ROAD, ONEHUNGA 1061, New Zealand",0,0,"$",,0,,,,
"V00225","HIGH GRADE WATERCUT LIMITED",,,,,,0,0,"$",,0,,,,
"V00184","HILLIER ENGINEERING",,,,,,0,0,"$",,0,,,,
"V00266","HOBART CITY COUNCIL",,,,,,0,0,"$",,0,,,,
"V00293","HOSE SUPPLIERS AUSTRALIA","07 5597 1327",,"sales@hoseuppliers.com.au",,"UNIT 2, 23 EXPANSION ST, MOLENDINAR QLD 4214, Australia",44,20.434782608696,"AUD",,924.25,,,30,10
"V00202","HYDRAULICS NETWORK","07 3277 5969",,"andrew.schultz@hydraulicsnetwork.com.au",,"19 SILVIO STREET, RICHLANDS QLD 4077, Australia",29,0.41666666666667,"AUD",,996.75,,,,
"V00093","HYDRAULINK HOSE AND FITTINGS",,,,,,0,47,"$",,163.41,,,,
"V00045","IDEAL ELECTRICAL SUPPLIES",,,,,,0,0,"$",,0,,,,
"V00182","IML - IAN MACALLAN LAWYER","07 55454303",,"ian@ianmacallan.com.au",,"Rumbala 40 Southport Ave, TAMBORINE MOUNTAIN QLD 4272, Australia",0,0,"$",,0,,,,
"V00198","INDUSTRIAL MINERALS","1800 309 734",,"sales@industrial-minerals.co.nz",,"PO BOX 302 660, NORTH HARBOUR AUCKLAND 0751, New Zealand",13,5.8888888888889,"$",,14875,,,,
"V00125","INFRABUILD STEEL CENTRE",,,"cleave.thompson@infrabuild.com",,,0,14.727272727273,"$",,23401.23,,,,
"V00058","INSULECT","1300 446 565",,"sales@insulect.com",,"PO BOX 3038, DARRA QLD 4076, Australia",0,0,"$",,0,,,,
"V00081","Interlloy Pty Ltd",,,,,,0,0,"$",,0,,,,
"V00231","INTERNATIONAL ROPE BRAID",,,,,"Factory 5 14 Technology Dr, ARUNDEL QLD 4214, Australia",0,0,"$",,0,,,,
"V00253","IP FLOURISH",,,,,,0,0,"$",,0,,,,
"V00286","ISCAR AUSTRALIA PTY LTD",,,,,,0,0,"$",,0,,,,
"V00273","JAI CUMMINS",,,,,,0,0,"$",,0,,,,
"V00059","JAMES CARMICHAEL",,,,,,0,0,"$",,0,,,,
"V00070","JAYCAR",,,,,,0,0,"$",,0,,,,
"V00103","JEHBCO MANUFACTURING PTY LTD","029905 9611",,"sales@jehbco.com.au",,"23 WILLIAM STREET, BROOKVALE NSW 2100, Australia",0,0,"$",,0,,,,
"V00221","JJ'S WASTE & RECYCLING","075539 4226",,"admin.nerang@jjwaste.com.au",,"PO BOX 235, CLEVELAND QLD 4163, Australia",0,0,"$",,0,,,,
"4BLU01","JOHN HART PTY LTD","039542 6262",,,,"7 - 11 Winterton Rd, CLAYTON VIC 3168, Australia",0,0,"$",,0,,,,
"V00131","KA SUPPLIES",,,,,,0,0,"$",,0,,,,
"V00263","KATHMANDU",,,,,,0,0,"$",,0,,,,
"V00164","KB SUPPLIES",,,,,,0,0,"$",,0,,,,
"V00064","KCD STUDWELDING","039584 1588",,"info@kcdstudwelding.com.au",,"96b Herald St, CHELTENHAM VIC 3192, Australia",100,0,"$",,4,,,,
"V00252","KEN HOARE BUSINESS SOLUTIONS",,,,,,0,0,"$",,0,,,,
"V00096","KTSENSING TECHNOLOGY LIMITED","'+867698270 8371 X803",,,,"1205 BAIDA INTERNATIONAL BUILDING, BAIDA ROAD, HUMEN DONGGUAN 523916, China",0,0,"$",,0,,,,
"V00185","KUHMICHEL ABRASIVES",,,"keira.scholtens@kuhmichel.com",,"PO BOX 184, BUDDINA QLD 4575, Australia",0,0,"$",,0,,,,
"V00033","KYPC",,,,,,0,0,"USD",,0,,"N",,
"V00148","LASER 3D (QLD)","0732872 880",,"robert@laser3d.com.au",,"9 Lions Park Dr, YATALA QLD 4207, Australia",0,0,"$",,0,,,,
"V00337","LASER CENTRAL","3375 6022",,"sales@lasercentral.com.au",,,0,0,"$",,0,,"N",,
"V00296","LECTUS DISTRIBUTION",,,,"https://www.electusdistribution.com.au/",,0,0,"$",,0,,,,
"V00104","LED SALES",,,,,,0,0,"$",,0,,,,
"V00016","Ledsales.com.au",,,,,,0,16,"$",,76.8,,,,
"V00002","Light Emitting Co","070 6776 8989",,"info@lightemitting.com",,"Baker Street 20, Worcester, UK",0,0,"$",,0,,,,
"V00216","LINAK AUSTRALIA PTY LTD","038796 9777",,,,"84 Bazalgette Cres, DANDENONG SOUTH VIC 3175, Australia",0,0,"$",,0,,,,
"V00054","LINKT",,,,,,0,0,"$",,0,,,,
"V00046","LLOYDS AUCTIONEERS AND VALUERS",,,,,,0,0,"$",,0,,,,
"V00210","LOW CO ENTERPRISES",,,,,,0,0,"$",,0,,,,
"V00169","LPE",,,,,,0,0,"$",,0,,,,
"V00203","LPR TOOLMAKERS","035784 1351",,,,"8 First St, BROADFORD VIC 3658, Australia",0,0,"$",,0,,,,
"V00320","LUNYEE IDUSTRIES DEVELOPEMENT CO. LIMTED","+86 19337118652",,"sales019@lunyee.com","https://www.lunyee.com/","Cathy Gao, 2ND FLOOR, 88 RUIDA ROAD, ZHONGYUAN DISTRICT, ZHENGZHOU CITY HENAN PROVINCE 450000, China",0,0,"USD",30,0,,"N",,
36667828,"M2 COMMANDER PTY LTD",,,,,,0,0,"$",,0,,,,
"V00292","MACHINE TOOL SERVICE & REPAIR PTY LTD",,,,,"MACHINE TOOL SERVICE & REPAIR PTY LTD, 1/10 NEWING WAY, CALOUNDRA WEST QLD 4551, Australia",0,0,"AUD",,0,,,,
"V00025","MARINEX CONTROLS","039555 9611",,"sales@marinex.com.au",,"Unit 56 140-148 Chesterville Rd, CHELTENHAM VIC 3192, Australia",0,0,"$",,0,,,,
"V00043","MELBOURNE ROPE AND SPLICING","0410 248 458",,"bryan@ropemelbourne.com.au",,,0,0,"$",,0,,,,
"V00095","MERCURY 5 SKY",,,,,,0,0,"$",,0,,,,
"V00245","MIDWAY METALS","0733829 500",,"stephenm@midwaymetals.com.au",,"56 Business St, YATALA QLD 4207, Australia",24,8.1081081081081,"$",,23257.27,,"Y",,
"V00149","MOTORSPORT BRAKES",,,"sales@motorsportbrakes.com.au",,"18 Binary St, YATALA QLD 4207, Australia",0,0,"$",,0,,,,
"V00288","MRP EASY",,,,,"MRP EASY, PAMU RD, 139E/2, TALLINN, Estonia",0,0,"$",,0,,,,
"V00176","MTM ELECTRICAL PTY LTD","075596 1907",,"info@mtmelectrical.com.au",,"Shop 2 15 Hilldon Ct, NERANG QLD 4211, Australia",0,0,"$",,0,,,,
"V00177","MTM ELECTRICAL PTY LTD11",,,,,,0,0,"$",,0,,,,
"V00323","NANJING XIADING ELECTRONIC TECHNOLO","'+86-13914487426",,"mqm@chinalcc2.com",,"NANJING XIADING ELECTRONIC TECHNOLO, 800 JINGSHENG, DINGSHAN STREET, JIANGNING DISTRICT, NANJING CITY 4-305 JIANGSU, China",0,0,"USD",30,0,,"N",,
"V00219","NAPA",,,,,,0,0,"$",,0,,,,
"V00290","NERANG CABINETS","5578 1388",,"matthew@nerangcabinets.com.au",,"NERANG CABINETS, 24 BRENDAN DRIVE, NERANG QLD 4211, Australia",0,33,"AUD",,750,,,30,10
"V00102","NETREGISTRY",,,,,,0,0,"$",,0,,,,
"V00267","NEW HORIZONS 2000 PTY LTD",,,,,,0,0,"$",,0,,,,
"V00060","NINGBO KEPLER AUTOMATION CO., LTD (NINGBO SHIMAOTONG INTERNATIONAL",+8613777083340,,"josh@keplerautomation.com",,"Josh, FLOOR 12, GUTING BUILDING, HEFENG CREATIVE SQUARENO 495 JIANGDONG NORTH ROAD, NINGBO CHINA, China",82,16.363636363636,"USD",,3308.23,,"N",,
"V00057","NINGBO SMART PNEUMATIC CO LTD",,,"smt@smt-pneumatic.com",,"12F JINGANG BUILDING, 51 YANGSHAN ROAD, NINGBO, China",0,0,"USD",,0,,"N",,
"V00020","Ningbo Yinzhou Maisi Mechanical & Electrical Co., Ltd","86 574 88125011",,"kelly@maisigroup.com",,"KELLY, NINGBO YINZHOU MAISI MECHANICAL & ELECTRICAL CO., LTD, 77 CHUNHUI RD,, ZHONGHE ST,, YINZHOU DIST NINGBO, China, 86-574-88125011",50,9.1428571428571,"USD",,3495.32,,"N",,
"V00187","NITRO LIFT",,,,,,0,0,"$",,0,,,,
"V00201","No Contact",,,"accounts@eplas.com.au",,,0,0,"$",,0,,,,
"V00150","NOEL K SHEETMETAL","0755972 550",,"admin@noelksheetmetal.com.au",,"UNIT 11 6-8 ENTERPRISE STREET, MOLENDINAR QLD 4214",25,12.5,"$",,42,,,,
"V00214","NPA (NEON PRODUCTS AUSTRALIA) PTY LTD","1300 972 554",,"leanne@npalighting.com",,"PO BOX 4142, ASHMORE PLAZA QLD 4214",0,24,"$",,2212,,,,
"V00052","O'REILLY WORK PLACE LAW",,,,,,0,0,"$",,0,,,,
"V00327","OCEANIA INDUSTRIAL COMPONENTS","07 3187 7334",,,,"OCEANIA INDUSTRIAL COMPONENTS, unit 2, 720 Macarthur Avenue Central,, PINKENBA, BRISBANE QUEENSLAND 4008, Australia",0,0,"AUD",,0,,"N",,
52088196,"OFFICEWORKS",,,,,,0,0,"$",,0,,,,
"V00127","OMAX CORPORATION","800838 0343",,"shawna.oskam@omax.com",,"21409 - 72ND AVE S, KENT WASHINGTON 98032, USA",0,0,"$",,0,,,,
7124,"ON THE NET","075553 9222",,"accounts@onthenet.com.au",,"PO BOX 102, VARSITY LAKES QLD 4227",0,0,"$",,0,,,,
"400 000 663 882","ORIGIN ENERGY","1800 444 345",,,,"ENERGY BUSINESS CENTRE, GPO BOX 186, MELBOURNE VIC 3001",0,0,"$",,0,,,,
"V00049","OT NINGBO RUITUO MOTORPARTS FACTORY",,,,,,0,0,"$",,0,,,,
"V00196","PACIFIC COATINGS","075500 4471",,"sales@paccoat.com.au",,"Unit 3 3 Indy Ct, CARRARA QLD 4211, Australia",20,3,"$",,468.55,,,,
"V00179","PACIFIC PROJECT CONSULTANTS",,,"kylie@theppc.com.au",,,0,0,"$",,0,,,,
"V00287","PDMINDUSTRY LIMITED",+8653255677518,,"jessiecong@pdmindustry.com",,"Jessie Cong, PDMINDUSTRY LIMITED, #43-101 BAOYUAN ROAD, NO. 780, CHENGYANG DIST QINGDAO 266114, China, +8653256677518",0,0,"$",,0,,,,
"V00316","PERTH LIFTING EQUIPMENT",0893312535,,,,"Unit 1 4 Jaggs Way, KARDINYA Western Australia 6163, Australia",0,0,"$",,0,,,,
"V00244","PIES AUSTRALIA PTY LTD","039303 2000",,"sales@piesau.com.au",,"49 Freight Dr, SOMERTON VIC 3062, Australia",0,0,"$",,0,,,,
